trajectory	seed_lineage	persistence_saved_frames	persistence_ns	first_persistent_direction	first_persistent_start_ns	opposite_direction_departure_candidate	opposite_departure_start_ns	return_candidate	return_start_ns	strict_core_frames
R46A_ES17_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES18_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES18_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES18_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	CLOSED_CONSENSUS	20.0	False		False		0
R46A_ES19_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	OPEN_CONSENSUS	59.0	False		False		0
R46A_ES19_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	OPEN_CONSENSUS	59.0	False		False		0
R46A_ES19_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	OPEN_CONSENSUS	59.0	False		False		0
R46A_ES20_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	5	5	OPEN_CONSENSUS	45.0	False		False		0
R46A_ES20_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	20	20	OPEN_CONSENSUS	45.0	False		False		0
R46A_ES20_2021_11_08_NaCl170mM_GMX_JeanZay	closed_seeded	50	50	OPEN_CONSENSUS	45.0	False		False		0
R60A_GS01_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS01_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS01_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS02_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS02_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS02_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS03_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS03_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS03_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS04_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS04_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	20	20	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS04_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	50	50	OPEN_CONSENSUS	20.0	False		False		0
R60A_GS05_2021_11_19_NaCl170mM_GMX_JeanZay	open_seeded	5	5	OPEN_CONSENSUS	20.0	False		False		0
