file,format,bins,first_axis_value,last_axis_value,axis_step_as_stored,axis_unit,counts_sum,maximum_count,zero_bins,normalized_or_corrected
69-150/69-150_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,23239173,100002,352,False
69-150/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
69-150/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
69-150/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
69-150/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
69-86/69-86_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,32689715,100002,347,False
69-86/69-86_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,23682085,100001,349,False
69-86/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
69-86/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2587136,100006,416,False
69-86/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
69-86/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,362701825,100002,44,False
70-119/70-119_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,7320517,25001,353,False
70-119/70-119_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,12286491,100001,353,False
70-119/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2570750,100058,412,False
70-119/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2811392,100003,585,False
70-119/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,108401158,29949,76,False
70-119/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,84086279,23241,34,False
70-132/70-132_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,7320517,25001,353,False
70-132/70-132_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,13678592,100003,355,False
70-132/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2570750,100058,412,False
70-132/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2811392,100003,585,False
70-132/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,108401158,29949,76,False
70-132/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,84086279,23241,34,False
8-119/8-119_D0.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,48905343,100000,1,False
8-119/8-119_DA.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,19124922,100000,183,False
8-119/IRF_D0.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,2188433,100000,4413,False
8-119/IRF_DA.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,2206403,100000,4147,False
8-132/8-132_D0.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,49262427,100000,0,False
8-132/8-132_DA.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,22119511,100000,57,False
8-132/IRF_D0.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,2229386,100000,4259,False
8-132/IRF_DA.dat,NUMERIC_TIME_COUNTS,6100,0.0,48.792,0.008,ns_supported_by_setup_8ps,2232035,100000,4356,False
8-69/8-69_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,32620557,100001,348,False
8-69/8-69_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,14976000,100007,351,False
8-69/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2797096,100012,562,False
8-69/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2797096,100012,562,False
8-69/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,102604342,28351,31,False
8-69/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,102604342,28351,31,False
8-86/8-86_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,32620557,100001,348,False
8-86/8-86_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,16899594,100001,350,False
8-86/IRF_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2797096,100012,562,False
8-86/IRF_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,2797096,100012,562,False
8-86/Linearization_D0.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,102604342,28351,31,False
8-86/Linearization_DA.txt,IBH_CHANNEL_COUNTS,4096,1.0,4096.0,1.0,channel,102604342,28351,31,False
